Date,andrewsmartin (difference),danthelion (difference),dmohns (difference),Gr1f0n6x (difference),himikof (difference),honnix (difference),switzer (difference),Tarrasch (difference),tmattio (difference),yonromai (difference),TOTAL (difference),Repository,Commit SHA,Commit URL
01/19/2018 05:42:05,,,,,,,,,,,2668,spotify/styx,ebb97ee68ad2ccee5ce9bb292efb8e46b5c32e32,https://github.com/spotify/styx/commit/ebb97ee68ad2ccee5ce9bb292efb8e46b5c32e32
01/19/2018 05:43:14,,,,,,,,,,,2668,spotify/styx,55b0d6969c42f0950563b78a0859bd9c15228feb,https://github.com/spotify/styx/commit/55b0d6969c42f0950563b78a0859bd9c15228feb
01/19/2018 05:43:41,,,,,,,,,,,2668,spotify/styx,4f56703dc456f50543bfa37fc3832741d3c4c1c2,https://github.com/spotify/styx/commit/4f56703dc456f50543bfa37fc3832741d3c4c1c2
01/19/2018 05:45:02,,,,,,,,,,,2660,spotify/styx,5f28a7b402ede021103b8f6179624158bf714b20,https://github.com/spotify/styx/commit/5f28a7b402ede021103b8f6179624158bf714b20
01/19/2018 06:32:32,,,,,,,,,,,2806,spotify/styx,2ae57d8db8b072ddee55b90f9780ea3bc6888d81,https://github.com/spotify/styx/commit/2ae57d8db8b072ddee55b90f9780ea3bc6888d81
01/19/2018 06:49:48,,,,,,,,,,,2811,spotify/styx,1ed83fdb28b963d0106e1eb148cc21550a74be35,https://github.com/spotify/styx/commit/1ed83fdb28b963d0106e1eb148cc21550a74be35
01/19/2018 07:12:00,,,,,,,,,,,2845,spotify/styx,c9a5b8cd3c94a9e5e254cd7e7013f2cc5a34c907,https://github.com/spotify/styx/commit/c9a5b8cd3c94a9e5e254cd7e7013f2cc5a34c907
01/19/2018 07:12:18,,,,,,,,,,,2851,spotify/styx,f7401f11fbc6178ea3bd422753f0f2bf81676e94,https://github.com/spotify/styx/commit/f7401f11fbc6178ea3bd422753f0f2bf81676e94
01/19/2018 07:22:27,,,,,,,,,,,2934,spotify/styx,25a8b0b2ac6aec946b0cbcc018ea22bce419aff3,https://github.com/spotify/styx/commit/25a8b0b2ac6aec946b0cbcc018ea22bce419aff3
01/19/2018 07:48:51,,,,,,,,,,,2935,spotify/styx,8929d202fa9053b6454d3be8ebb3e88f98c561d4,https://github.com/spotify/styx/commit/8929d202fa9053b6454d3be8ebb3e88f98c561d4
01/19/2018 13:42:15,,,,,,,,,,,2934,spotify/styx,f713cedf691309b3dbd2e0d88922b76390d62e6a,https://github.com/spotify/styx/commit/f713cedf691309b3dbd2e0d88922b76390d62e6a
01/19/2018 14:17:21,,,,,,,,,,,2975,spotify/styx,6f2e402ac5382ad51837600bacd633756a25a6f3,https://github.com/spotify/styx/commit/6f2e402ac5382ad51837600bacd633756a25a6f3
01/19/2018 15:01:58,,,,,,,,,,,3003,spotify/styx,b615a5587ab5836cb393503bcedc5aaccc031ef5,https://github.com/spotify/styx/commit/b615a5587ab5836cb393503bcedc5aaccc031ef5
01/19/2018 19:41:33,,,,,,,,,,18,3021,spotify/luigi,8c58ce428e633a535d36e4ad5c4880aec325f9ae,https://github.com/spotify/luigi/commit/8c58ce428e633a535d36e4ad5c4880aec325f9ae
01/19/2018 21:09:06,,,,,,,,,,41,3044,spotify/luigi,c9d9da2002cf74e855c9514815786c8b4ce877c8,https://github.com/spotify/luigi/commit/c9d9da2002cf74e855c9514815786c8b4ce877c8
01/19/2018 22:42:36,,,,,,,,,,47,3050,spotify/luigi,bd7303935f200a0167662b0389b1cf11dcbb5300,https://github.com/spotify/luigi/commit/bd7303935f200a0167662b0389b1cf11dcbb5300
01/19/2018 23:07:33,,,,,,,,,,67,3070,spotify/luigi,da1330af1e1211d09f3f990ccaba96cdfa3f8d68,https://github.com/spotify/luigi/commit/da1330af1e1211d09f3f990ccaba96cdfa3f8d68
01/19/2018 23:16:01,,,,,,,,,,68,3071,spotify/luigi,6dd338102acb3d25ceb4e65fe51f9da6bbdd6382,https://github.com/spotify/luigi/commit/6dd338102acb3d25ceb4e65fe51f9da6bbdd6382
01/20/2018 12:24:56,,,,,,,,,,,3072,spotify/styx,9a813b4147002175064cacf9ed66cf9b46d9998a,https://github.com/spotify/styx/commit/9a813b4147002175064cacf9ed66cf9b46d9998a
01/20/2018 13:19:31,,,,,,,,,,,3142,spotify/styx,093f12e04cecba57561a409449c9287fac51fad0,https://github.com/spotify/styx/commit/093f12e04cecba57561a409449c9287fac51fad0
01/22/2018 02:47:13,,,,,,,,,,,3155,spotify/styx,8352ecc958d4142742103f10bce3b179b3fe798b,https://github.com/spotify/styx/commit/8352ecc958d4142742103f10bce3b179b3fe798b
01/22/2018 04:30:31,,,,,,,,,,,3261,spotify/styx,3789067a76295ec64137fde2652c75ea22f6b749,https://github.com/spotify/styx/commit/3789067a76295ec64137fde2652c75ea22f6b749
01/22/2018 04:37:44,,,,,,,,,,,3260,spotify/styx,4683dc8e7f6fec1a994cd53bb900b1847701979f,https://github.com/spotify/styx/commit/4683dc8e7f6fec1a994cd53bb900b1847701979f
01/22/2018 05:29:09,,,,,,,,,,,3263,spotify/styx,a36ff7dcd82b8c57571986dd9e48dfe086eac618,https://github.com/spotify/styx/commit/a36ff7dcd82b8c57571986dd9e48dfe086eac618
01/22/2018 05:29:09,,,,,,,,,,,3257,spotify/styx,de1ec95e0316207e92b1bad90c7f9a840fa5b8d0,https://github.com/spotify/styx/commit/de1ec95e0316207e92b1bad90c7f9a840fa5b8d0
01/22/2018 05:29:09,,,,,,,,,,,3554,spotify/styx,6cead4e309ad8c6ea72c7e42dd9466ff8df71439,https://github.com/spotify/styx/commit/6cead4e309ad8c6ea72c7e42dd9466ff8df71439
01/22/2018 16:53:57,,,,,,,,,,72,3558,spotify/luigi,a11b087f1316db60606ff7f748d8dc9cab9192a1,https://github.com/spotify/luigi/commit/a11b087f1316db60606ff7f748d8dc9cab9192a1
01/22/2018 19:30:46,,,,,,,,,,81,3567,spotify/luigi,eb1ee842a8af707b5388f8afbe3b8b60351a24e5,https://github.com/spotify/luigi/commit/eb1ee842a8af707b5388f8afbe3b8b60351a24e5
01/22/2018 21:45:44,,,,,,,,,,86,3572,spotify/luigi,e27b9fb418fc3e25531e9b1d797c2915851d9429,https://github.com/spotify/luigi/commit/e27b9fb418fc3e25531e9b1d797c2915851d9429
01/23/2018 03:34:13,,,,,,,,,,,3542,spotify/styx,ccea9051add157e0e13249b5a54db7d1e12a2868,https://github.com/spotify/styx/commit/ccea9051add157e0e13249b5a54db7d1e12a2868
01/23/2018 05:12:07,,,,,,,,,,,3542,spotify/styx,1795005348c557f2eaf0a7266f1cb5fcbb06e1c8,https://github.com/spotify/styx/commit/1795005348c557f2eaf0a7266f1cb5fcbb06e1c8
01/23/2018 05:13:16,,,,,,,,,,,3542,spotify/styx,8b2050a1cdcdd7a2510b491d721540882229a47b,https://github.com/spotify/styx/commit/8b2050a1cdcdd7a2510b491d721540882229a47b
01/23/2018 05:22:49,,,,,,,,,,,3542,spotify/styx,2d2bfa926b94508de5aab47b5f305659ead2274a,https://github.com/spotify/styx/commit/2d2bfa926b94508de5aab47b5f305659ead2274a
01/23/2018 05:43:52,,,,,,,,,,,3583,spotify/styx,ee0fff1009d47844b4c7fc6b9c50c23e98fee90e,https://github.com/spotify/styx/commit/ee0fff1009d47844b4c7fc6b9c50c23e98fee90e
01/23/2018 23:52:20,,,,,,,,,,86,3583,spotify/luigi,76f896698110e7807b4c90687e13008dc77c3361,https://github.com/spotify/luigi/commit/76f896698110e7807b4c90687e13008dc77c3361
01/24/2018 05:08:52,,,,,,,,,,,3584,spotify/styx,482b503d98de209eb56b5f65e1911ea9b2280de4,https://github.com/spotify/styx/commit/482b503d98de209eb56b5f65e1911ea9b2280de4
01/24/2018 06:11:19,,,,,,,,,,,3584,spotify/styx,3904376c6d4aa3c3f3513c8248aa42feb5e9e263,https://github.com/spotify/styx/commit/3904376c6d4aa3c3f3513c8248aa42feb5e9e263
01/24/2018 06:14:49,,,,,,,,,,,3584,spotify/styx,08a5c5a3e7bad6f5bacb3f641bed966f1cf71378,https://github.com/spotify/styx/commit/08a5c5a3e7bad6f5bacb3f641bed966f1cf71378
01/24/2018 06:14:49,,,,,,,,,,,3584,spotify/styx,f34d11fe1226326599031ee9d0bb819701056588,https://github.com/spotify/styx/commit/f34d11fe1226326599031ee9d0bb819701056588
01/24/2018 07:28:37,,,,,,,,,,,3631,spotify/styx,5b8d97733df3f155c39ec80c260c4717b6514e94,https://github.com/spotify/styx/commit/5b8d97733df3f155c39ec80c260c4717b6514e94
01/24/2018 07:36:42,,,,,,,,,,,3631,spotify/styx,50d5f3a0f08c4bd9b7dcd6959c91e8db2dd45e95,https://github.com/spotify/styx/commit/50d5f3a0f08c4bd9b7dcd6959c91e8db2dd45e95
01/24/2018 07:58:51,,,,,,,,,,,3708,spotify/styx,03a85f0c78ff10ffcd1d3ec675678daa79ba3bdd,https://github.com/spotify/styx/commit/03a85f0c78ff10ffcd1d3ec675678daa79ba3bdd
01/24/2018 08:23:34,,,,,,,,,,,3706,spotify/styx,3e244f91691f09d7ce939fd07ff31515d5b9e98d,https://github.com/spotify/styx/commit/3e244f91691f09d7ce939fd07ff31515d5b9e98d
01/24/2018 08:27:33,,,,,,,,,,,3705,spotify/styx,1d1cf023e6c1e5353e860cd3df15a828256148be,https://github.com/spotify/styx/commit/1d1cf023e6c1e5353e860cd3df15a828256148be
01/24/2018 11:34:24,,,,,,,,,,,3705,spotify/luigi,7640bc13f2a0a0768b068b0adc0b01bfea210d7a,https://github.com/spotify/luigi/commit/7640bc13f2a0a0768b068b0adc0b01bfea210d7a
01/24/2018 11:47:18,,,,,,,,,,,3705,spotify/luigi,b5a24da98818d9e26b4c0b81b12b56acedba5d35,https://github.com/spotify/luigi/commit/b5a24da98818d9e26b4c0b81b12b56acedba5d35
01/24/2018 12:21:29,,,,,,,,,,,3751,spotify/styx,d9f6012edbf1c3fcb72b4495c68f53f3c3451443,https://github.com/spotify/styx/commit/d9f6012edbf1c3fcb72b4495c68f53f3c3451443
01/24/2018 12:30:09,,,,,,,,,,,3795,spotify/styx,cb92e70d42cf3490e4293f7022e1fb092ddeb4e7,https://github.com/spotify/styx/commit/cb92e70d42cf3490e4293f7022e1fb092ddeb4e7
01/24/2018 18:44:14,,,,,,,,,,94,3803,spotify/luigi,38ba0637c29751df93969aa2f7e39ba416f1f5c4,https://github.com/spotify/luigi/commit/38ba0637c29751df93969aa2f7e39ba416f1f5c4
01/25/2018 02:52:02,,,,,,,,,,,3804,spotify/styx,89f50e0988bcffd2aa89e4900d2548dbf7e9360b,https://github.com/spotify/styx/commit/89f50e0988bcffd2aa89e4900d2548dbf7e9360b
01/25/2018 02:55:26,,,,,,,,,,,3885,spotify/styx,89cc4b0f9a64df97d16bc266ef01d2c3bac9aa71,https://github.com/spotify/styx/commit/89cc4b0f9a64df97d16bc266ef01d2c3bac9aa71
01/25/2018 03:23:06,,,,,,,,,,,3898,spotify/styx,2a4be3bc634a2e7cc41f398faf5b8c7df5e527d1,https://github.com/spotify/styx/commit/2a4be3bc634a2e7cc41f398faf5b8c7df5e527d1
01/25/2018 03:25:38,,,,,,,,,,,3896,spotify/styx,1ba472d5d62cdbf3036dd4833e727e7b4af5465e,https://github.com/spotify/styx/commit/1ba472d5d62cdbf3036dd4833e727e7b4af5465e
01/25/2018 03:37:53,,,,,,,,,,,3920,spotify/styx,2a45e4ef3d2872a3989dd4ecf9879622762180fb,https://github.com/spotify/styx/commit/2a45e4ef3d2872a3989dd4ecf9879622762180fb
01/25/2018 06:07:39,,,,,,,,,,,4546,spotify/styx,84433985c3f62069240a2ba6f3e014aa0efa00b1,https://github.com/spotify/styx/commit/84433985c3f62069240a2ba6f3e014aa0efa00b1
01/25/2018 06:11:42,,,,,,,,,,,4546,spotify/styx,23b2735e371ad2559bfac9b2cd34d44f0eff4c97,https://github.com/spotify/styx/commit/23b2735e371ad2559bfac9b2cd34d44f0eff4c97
01/25/2018 06:11:42,,,,,,,,,,,4546,spotify/styx,9f154ec0446a0ddbf164728936ee4f902aeaa573,https://github.com/spotify/styx/commit/9f154ec0446a0ddbf164728936ee4f902aeaa573
01/25/2018 08:25:03,,,,,,,,,,,4548,spotify/styx,074ad9da19204f51d7b482ff297794e453310988,https://github.com/spotify/styx/commit/074ad9da19204f51d7b482ff297794e453310988
01/25/2018 12:51:54,,,,,,,,,,,4580,spotify/styx,34623b873fb91d790d8f4c9e09f68abd48ab8c23,https://github.com/spotify/styx/commit/34623b873fb91d790d8f4c9e09f68abd48ab8c23
01/25/2018 12:52:58,,,,,,,,,,,4583,spotify/styx,54d5cb3fddb18e841eecc0b66156dd5f9cfa44cf,https://github.com/spotify/styx/commit/54d5cb3fddb18e841eecc0b66156dd5f9cfa44cf
01/25/2018 13:01:37,,,,,,,,,,,4590,spotify/styx,1614c3c7846b8aa7a67a2b8d5a324d45e43ceceb,https://github.com/spotify/styx/commit/1614c3c7846b8aa7a67a2b8d5a324d45e43ceceb
01/25/2018 14:09:16,,,,,,,,,,,4590,spotify/styx,1e46f2c5c4569a3e19686685bd879578946441b8,https://github.com/spotify/styx/commit/1e46f2c5c4569a3e19686685bd879578946441b8
01/25/2018 14:09:16,,,,,,,,,,,4590,spotify/styx,f94d823a50a4b916f259ec2e5681c7851fb663bb,https://github.com/spotify/styx/commit/f94d823a50a4b916f259ec2e5681c7851fb663bb
01/25/2018 14:20:50,,,,,,,,,,,4590,spotify/styx,b7fc217a58b7bf9306be9591f228419368568bf7,https://github.com/spotify/styx/commit/b7fc217a58b7bf9306be9591f228419368568bf7
01/25/2018 14:20:51,,,,,,,,,,,4590,spotify/styx,3181f6875c7b87e7847c0eb95e1355bbf0e3eb90,https://github.com/spotify/styx/commit/3181f6875c7b87e7847c0eb95e1355bbf0e3eb90
01/25/2018 14:45:35,,,,,,,,,,,4590,spotify/styx,64ca471e867002e8989bd0f04e32ca3853f98535,https://github.com/spotify/styx/commit/64ca471e867002e8989bd0f04e32ca3853f98535
01/25/2018 14:45:35,,,,,,,,,,,4590,spotify/styx,73c843bee5fc9e66726e44d760e75c9d148cecdf,https://github.com/spotify/styx/commit/73c843bee5fc9e66726e44d760e75c9d148cecdf
01/25/2018 15:07:57,,,,,,,,,,,4590,spotify/styx,40cb86595fb92db750fa082b2fca9fa8afd0e947,https://github.com/spotify/styx/commit/40cb86595fb92db750fa082b2fca9fa8afd0e947
01/25/2018 15:07:57,,,,,,,,,,,4590,spotify/styx,408d43bc5e8fef14fe4d0edc7dca3185c2283303,https://github.com/spotify/styx/commit/408d43bc5e8fef14fe4d0edc7dca3185c2283303
01/25/2018 15:33:25,,,,,,,,,,,4590,spotify/styx,bdda25a373af55f3efe196da3fb2325433b70a5d,https://github.com/spotify/styx/commit/bdda25a373af55f3efe196da3fb2325433b70a5d
01/25/2018 15:33:25,,,,,,,,,,,4590,spotify/styx,cfc1e420f86544e35ec327a7db1a0cd8878b48d2,https://github.com/spotify/styx/commit/cfc1e420f86544e35ec327a7db1a0cd8878b48d2
01/25/2018 15:51:35,,,,,,,,,,,4590,spotify/styx,fec230893faabd0b0d30c2c7328998b3fa650549,https://github.com/spotify/styx/commit/fec230893faabd0b0d30c2c7328998b3fa650549
01/25/2018 15:51:35,,,,,,,,,,,4590,spotify/styx,984d6028d72a9f1723afae44c07315d8f3250e83,https://github.com/spotify/styx/commit/984d6028d72a9f1723afae44c07315d8f3250e83
01/25/2018 16:11:55,,,,,,,,,,,4591,spotify/styx,a0c8f888f523c5639bd649f7bbe4c96002efb328,https://github.com/spotify/styx/commit/a0c8f888f523c5639bd649f7bbe4c96002efb328
01/26/2018 00:49:28,,,,,,,,,,,4592,spotify/styx,8ddebb751daa9e0a7ae65ee8ed2c50a849515108,https://github.com/spotify/styx/commit/8ddebb751daa9e0a7ae65ee8ed2c50a849515108
01/26/2018 01:51:41,,,,,,,,,,,4580,spotify/styx,793830fea14cf60da115ef26ab433e19cc5fd137,https://github.com/spotify/styx/commit/793830fea14cf60da115ef26ab433e19cc5fd137
01/26/2018 01:54:10,,,,,,,,,,,4577,spotify/styx,dd549f39af2f7585b2abb5d36c5549c3fb304997,https://github.com/spotify/styx/commit/dd549f39af2f7585b2abb5d36c5549c3fb304997
01/26/2018 01:55:50,,,,,,,,,,,4574,spotify/styx,3dceaebfc6178ee4b94fa98ac99474ac2499639d,https://github.com/spotify/styx/commit/3dceaebfc6178ee4b94fa98ac99474ac2499639d
01/26/2018 02:25:37,,,,,,,,,,,4574,spotify/styx,826d20b5170c3ec962f8fe7c67345aedfec7d70e,https://github.com/spotify/styx/commit/826d20b5170c3ec962f8fe7c67345aedfec7d70e
